-----,기본,성수카페,https://m.place.naver.com/restaurant/1425989301/home?entry=pll,카페 할아버지공장,,2024-06-21 17:09:40,"97,000+","97,000+","97,000+","96,000+","96,000+","96,000+","96,000+","96,000+","95,000+","95,000+","95,000+","95,000+","95,000+","94,000+","94,000+","94,000+","93,000+","92,000+","92,000+","91,000+","91,000+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 2,458개","블 2,458개","블 2,457개","블 2,458개","블 2,459개","블 2,460개","블 2,460개","블 2,458개","블 2,453개","블 2,450개","블 2,448개","블 2,445개","블 2,447개","블 2,446개","블 2,439개","블 2,436개","블 2,431개","블 2,430개","블 2,417개","블 2,413개","블 2,413개",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 5,255개","방 5,251개","방 5,250개","방 5,248개","방 5,248개","방 5,248개","방 5,246개","방 5,245개","방 5,245개","방 5,243개","방 5,242개","방 5,239개","방 5,235개","방 5,231개","방 5,228개","방 5,224개","방 5,218개","방 5,218개","방 5,217개","방 5,215개","방 5,209개",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,06-17,06-10,06-07,,,,,,,,,,,,,,,,,,,,,
-----,기본,서울숲맛집,https://m.place.naver.com/restaurant/38590315/home?entry=pll,미테이블 성수본점,,2024-06-07 15:58:39,"55,000+","55,000+","55,000+","55,000+","55,000+","55,000+","55,000+","54,000+","54,000+","54,000+","54,000+","54,000+","54,000+","54,000+","54,000+","54,000+","54,000+","54,000+","53,000+","53,000+","53,000+","53,000+","52,000+",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 3,763개","블 3,761개","블 3,761개","블 3,758개","블 3,754개","블 3,751개","블 3,753개","블 3,753개","블 3,752개","블 3,750개",블 3744개,"블 3,740개","블 3,735개","블 3,731개","블 3,733개","블 3,729개","블 3,731개","블 3,733개","블 3,671개","블 3,664개","블 3,663개","블 3,654개","블 3,651개",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 3,906개","방 3,890개","방 3,884개","방 3,878개","방 3,870개","방 3,859개","방 3,857개","방 3,847개","방 3,840개","방 3,826개",방 3821개,"방 3,814개","방 3,807개","방 3,791개","방 3,788개","방 3,776개","방 3,774개","방 3,773개","방 3,774개","방 3,770개","방 3,767개","방 3,766개","방 3,767개",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,06-17,06-10,06-07,,,,,,,,,,,,,,,,,,,,,
-----,기본,서울숲맛집,https://m.place.naver.com/restaurant/1115969228/home?entry=pll,미쁘동 서울숲,,2024-06-07 15:58:15,"94,000+","94,000+","94,000+","94,000+","92,000+","91,000+","89,000+","87,000+","85,000+","82,000+","81,000+","80,000+","79,000+","77,000+","76,000+","75,000+","74,000+","74,000+","73,000+","68,000+","68,000+","67,000+","67,000+",,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 7,982개","블 7,982개","블 7,983개","블 7,980개","블 7,984개","블 7,989개","블 7,988개","블 7,990개","블 7,986개","블 7,985개",블 7982개,"블 7,975개","블 7,972개","블 7,967개","블 7,965개","블 7,960개","블 7,949개","블 7,949개","블 7,929개","블 7,923개","블 7,910개","블 7,910개","블 7,909개",,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 883개,방 882개,방 882개,방 881개,방 881개,방 879개,방 878개,방 879개,방 880개,방 879개,방 878개,방 877개,방 876개,방 868개,방 867개,방 867개,방 869개,방 865개,방 861개,방 853개,방 850개,방 846개,방 842개,,,,,,,,,,,,,,,,,,,,,
